Time,Low,High,Open,Close,Volume
2015-07-10,269.0,294.71,269.77,286.67,15892.6669273
2015-07-11,284.5,299.0,286.71,294.23,8509.59783548
2015-07-12,293.5,316.52,294.29,312.16,12917.9907578
2015-07-13,281.62,312.91,312.19,293.08,12936.002783
2015-07-14,286.25,297.78,292.93,287.51,7146.06148146
2015-07-15,284.98,294.11,287.48,285.7,7586.0592526
2015-07-16,275.0,292.78,285.7,279.38,8604.67123328
2015-07-17,272.64,281.38,279.38,280.58,6977.01744653
2015-07-18,276.34,282.71,280.14,277.71,4279.26089921
2015-07-19,275.0,278.48,277.71,275.61,3464.18667592
2015-07-20,273.34,280.0,275.6,280.0,5476.61658855
2015-07-21,276.85,281.27,279.96,277.32,4943.55943437
2015-07-22,275.01,278.54,277.33,277.89,4687.90938331
2015-07-23,276.28,279.75,277.96,277.39,5306.82157531
2015-07-24,276.43,291.52,277.23,289.12,7362.46908295
2015-07-25,286.82,291.67,289.12,289.7,4102.45296008
2015-07-26,288.65,294.49,289.68,293.89,3735.23660255
2015-07-27,287.24,297.0,293.88,294.21,6461.0331349
2015-07-28,293.65,298.0,294.22,295.76,5761.8696177
2015-07-29,289.01,296.58,295.74,290.19,5223.39617064
2015-07-30,286.56,291.56,290.26,288.49,5138.98154856
2015-07-31,282.79,290.0,288.49,285.19,5676.61845893
2015-08-01,277.26,285.6,285.2,281.53,3932.44975145
2015-08-02,277.33,282.62,281.53,282.62,3361.0866893
2015-08-03,280.27,285.86,282.62,280.95,4741.72910667
2015-08-04,280.11,286.47,280.95,285.51,5580.22052955
2015-08-05,282.01,286.25,285.6,282.77,5765.48779667
2015-08-06,278.95,282.61,282.44,279.65,5027.85564067
2015-08-07,277.05,281.17,279.37,279.94,5212.45690065
2015-08-08,260.07,280.16,280.06,262.02,6085.44943664
2015-08-09,260.97,268.8,262.02,267.63,5046.97687512
2015-08-10,263.17,268.89,267.6,265.15,5478.58214893
2015-08-11,264.91,271.99,265.15,271.99,5796.14479285
2015-08-12,265.79,272.4,271.99,266.94,6350.25601895
2015-08-13,262.94,267.82,266.81,264.67,5343.42301753
2015-08-14,262.5,267.98,264.48,266.17,6859.07697033
2015-08-15,261.77,267.69,266.21,262.46,4116.06182042
2015-08-16,255.67,263.1,262.45,259.2,5493.63748757
2015-08-17,255.58,261.57,259.2,257.31,6966.27959621
2015-08-18,200.0,258.04,257.56,221.99,11541.0642952
2015-08-19,214.91,238.99,221.99,227.34,13329.6903361
2015-08-20,227.45,238.2,227.46,235.56,8819.52508175
2015-08-21,231.15,236.99,235.56,232.85,8327.53467628
2015-08-22,222.68,235.53,232.85,231.15,7197.25948925
2015-08-23,226.15,233.25,231.16,229.21,4312.6176901
2015-08-24,210.0,229.24,229.23,211.16,16523.7794449
2015-08-25,198.02,229.49,211.16,223.73,19685.2057804
2015-08-26,220.16,231.97,223.73,226.81,9756.26262065
2015-08-27,224.0,229.99,226.72,225.8,7891.14647013
2015-08-28,221.2,236.18,225.62,231.55,9155.34886512
2015-08-29,228.0,233.95,231.55,230.61,4469.25113064
2015-08-30,226.59,233.47,230.61,229.39,4975.99074234
2015-08-31,225.23,233.0,229.4,230.75,6986.51571867
2015-09-01,226.42,233.5,230.76,228.22,8595.94977275
2015-09-02,226.43,231.43,228.22,229.97,7461.08419833
2015-09-03,226.48,230.79,229.95,227.25,6668.25862489
2015-09-04,227.24,232.49,227.24,231.39,7070.54636039
2015-09-05,230.12,237.24,231.43,236.01,5615.31975395
2015-09-06,235.54,244.82,236.2,241.29,5273.5396927
2015-09-07,239.21,242.98,241.26,241.31,4902.58116068
2015-09-08,240.31,247.82,241.31,244.14,8296.95385459
2015-09-09,238.6,244.69,244.24,238.75,6819.43626768
2015-09-10,236.69,241.4,238.74,238.52,5811.40195317
2015-09-11,238.5,241.54,238.55,240.9,5856.64280098
2015-09-12,235.26,241.12,240.9,236.5,5480.20471378
2015-09-13,229.72,236.91,236.5,230.82,5004.42997556
2015-09-14,228.01,233.99,230.83,231.01,7984.56251326
2015-09-15,230.26,232.43,231.02,230.6,7118.30792605
2015-09-16,226.85,232.0,230.67,229.73,7655.65298843
2015-09-17,229.01,235.93,229.72,233.34,7527.99830632
2015-09-18,231.75,234.96,233.31,233.78,4688.4507946
2015-09-19,232.0,234.31,233.78,232.88,3604.57190273
2015-09-20,231.84,234.0,232.88,232.24,3683.55398908
2015-09-21,226.87,233.64,232.26,227.31,7599.80481578
2015-09-22,224.45,232.5,227.31,231.28,8900.96660186
2015-09-23,229.27,233.0,231.31,230.26,6357.67604853
2015-09-24,230.09,235.99,230.26,235.27,9375.09414213
2015-09-25,234.02,237.62,235.35,235.89,6186.86283845
2015-09-26,233.5,236.2,235.88,234.69,4167.95246947
2015-09-27,233.2,235.03,234.67,233.58,3302.85450184
2015-09-28,233.53,240.52,233.53,239.99,8114.32217801
2015-09-29,236.65,241.05,239.96,236.89,6984.74661537
2015-09-30,236.26,238.75,236.88,237.14,5479.4328461
2015-10-01,236.9,239.86,237.1,238.34,5676.93891488
2015-10-02,236.97,239.4,238.34,238.28,5907.54929183
2015-10-03,237.73,240.62,238.31,239.92,4332.27031897
2015-10-04,239.07,240.28,239.93,239.87,3794.12085585
2015-10-05,237.5,240.98,239.87,240.95,7487.56172347
2015-10-06,240.31,248.0,240.93,246.64,9574.83849797
2015-10-07,240.2,247.96,246.7,244.0,8821.85979471
2015-10-08,242.2,245.38,244.0,242.94,5622.45156751
2015-10-09,241.1,244.88,242.94,244.35,4935.02552161
2015-10-10,243.8,246.1,244.44,246.07,3688.53341368
2015-10-11,245.63,250.0,246.06,249.02,4323.21964729
2015-10-12,245.89,249.14,249.01,246.39,5402.18608546
2015-10-13,244.86,251.5,246.43,250.99,6502.18526608
2015-10-14,250.25,255.0,250.98,253.27,7587.4200466
2015-10-15,253.18,256.77,253.25,254.99,6678.8912441
2015-10-16,254.86,267.6,254.98,263.43,9215.97339011
2015-10-17,263.05,274.81,263.45,272.87,11034.142307
2015-10-18,262.94,273.5,272.88,265.0,5660.0181334
2015-10-19,262.05,268.23,265.0,265.17,5364.10132456
2015-10-20,264.38,272.95,265.09,271.14,4647.33185323
2015-10-21,265.0,272.85,271.16,268.77,6195.06646892
2015-10-22,268.75,280.0,268.77,275.84,8695.88388281
2015-10-23,275.4,281.17,275.76,278.76,7072.84470388
2015-10-24,278.75,284.49,278.76,284.29,5507.97672516
2015-10-25,283.28,295.93,284.29,284.97,10695.6683706
2015-10-26,282.04,287.68,284.97,287.1,7477.92421946
2015-10-27,286.89,297.99,287.1,295.61,11123.6817878
2015-10-28,295.65,308.93,295.68,304.09,16047.5107709
2015-10-29,301.8,320.99,304.1,316.08,12247.4410755
2015-10-30,315.9,336.97,316.07,329.11,16825.1963881
2015-10-31,306.29,334.28,329.11,314.85,15213.5181091
2015-11-01,311.44,332.0,314.84,329.46,10727.5869747
2015-11-02,326.07,371.82,329.45,365.21,19748.9452477
2015-11-03,362.07,422.3,365.14,404.1,40167.7366402
2015-11-04,368.15,499.99,404.06,410.0,50603.7916932
2015-11-05,366.66,450.0,410.0,387.21,27227.9656193
2015-11-06,351.0,395.0,387.21,374.09,20034.6432048
2015-11-07,371.43,392.0,374.26,384.81,8396.12456558
2015-11-08,363.58,389.0,384.8,373.83,7459.01455998
2015-11-09,360.8,386.96,373.84,379.53,11225.645676
2015-11-10,322.0,382.23,379.55,337.14,16694.8122627
2015-11-11,293.32,341.75,337.14,313.2,18097.6662941
2015-11-12,312.24,344.99,313.2,336.49,15784.1881758
2015-11-13,325.0,343.0,336.49,338.07,10203.5464044
2015-11-14,329.4,339.57,338.08,334.71,6008.71016419
2015-11-15,319.89,336.46,334.67,322.93,6329.30282708
2015-11-16,316.12,334.1,322.94,332.89,7295.39651482
2015-11-17,330.1,340.72,332.85,336.49,7262.45698749
2015-11-18,330.0,338.0,336.49,335.49,5204.31011673
2015-11-19,324.9,336.38,335.5,326.41,6718.63093055
2015-11-20,311.23,327.04,326.53,322.39,9324.44081425
2015-11-21,316.33,328.0,322.39,327.0,5125.95880902
2015-11-22,321.0,327.0,326.99,323.71,3426.17860154
2015-11-23,322.0,326.0,323.72,323.0,4797.36462208
2015-11-24,318.0,323.17,323.01,321.0,5234.69111933
2015-11-25,316.26,330.06,320.96,328.98,7870.71416224
2015-11-26,328.98,368.18,328.99,352.57,14023.747661
2015-11-27,347.96,364.46,352.56,358.19,7234.79070596
2015-11-28,351.09,359.63,358.2,357.24,5553.05449499
2015-11-29,354.26,373.63,357.24,372.24,5537.92313905
2015-11-30,367.5,382.87,372.25,376.86,11425.7747278
2015-12-01,354.6,378.94,376.88,362.68,9267.04308586
2015-12-02,347.55,363.06,362.68,360.0,8966.98824159
2015-12-03,356.52,369.99,360.0,361.77,7242.50437252
2015-12-04,355.43,364.85,361.89,363.98,5864.70564891
2015-12-05,363.97,390.0,363.98,387.99,8731.83930085
2015-12-06,375.22,401.01,388.03,387.55,9639.57283496
2015-12-07,383.0,397.57,387.53,394.73,7577.57798539
2015-12-08,386.69,418.94,394.73,418.94,8264.81457202
2015-12-09,401.0,425.0,417.84,418.39,13811.4442941
2015-12-10,408.0,419.5,418.39,415.68,7117.83823664
2015-12-11,415.67,453.13,415.68,452.95,13643.4694461
2015-12-12,403.0,469.34,452.95,436.87,29525.2699644
2015-12-13,419.42,443.83,436.9,433.83,6720.01359993
2015-12-14,429.12,450.0,433.38,444.01,165495.815539
2015-12-15,443.76,464.95,444.03,464.27,11008.1568566
2015-12-16,440.0,464.73,464.5,453.97,35979.09462
2015-12-17,446.01,456.33,453.96,455.5,6287.10804102
2015-12-18,453.28,465.1,455.5,463.17,5045.11002465
2015-12-19,451.58,465.6,463.14,461.29,6991.38436346
2015-12-20,430.0,461.3,461.29,442.22,8376.42335291
2015-12-21,424.66,444.44,442.36,436.81,6845.94120366
2015-12-22,432.58,442.0,436.85,433.92,6659.30196893
2015-12-23,428.29,445.11,433.94,442.43,7571.53072722
2015-12-24,442.42,460.0,442.43,455.74,6860.17753086
2015-12-25,450.01,458.99,455.74,455.84,3482.66051175
2015-12-26,410.0,458.29,455.82,419.41,13505.2226485
2015-12-27,410.02,429.85,419.41,424.72,5568.9768396
2015-12-28,418.0,429.9,424.73,421.94,6929.61799486
2015-12-29,419.31,433.9,421.94,433.89,6387.09713856
2015-12-30,422.35,434.99,433.89,427.95,4884.61572961
